isDGA,num_nouns,num_verbs,num_adverbs,num_adjectives,num_others,similarity_avg,noun_ratio,verb_ratio,adverb_ratio,adjectives_ratio,others_ratio
1,1,0,0,0,1,0.20529858767986298,0.5,0.0,0.0,0.0,0.5
1,1,0,1,0,0,-0.0309141892939806,0.5,0.0,0.5,0.0,0.0
1,2,0,0,0,0,0.08286096155643463,1.0,0.0,0.0,0.0,0.0
1,0,1,1,0,0,0.14702972769737244,0.0,0.5,0.5,0.0,0.0
1,1,0,0,0,1,0.10364850610494614,0.5,0.0,0.0,0.0,0.5
1,2,0,0,0,0,0.09597564488649368,1.0,0.0,0.0,0.0,0.0
1,2,0,0,0,0,-0.0013705482706427574,1.0,0.0,0.0,0.0,0.0
1,1,1,0,0,0,0.047221265733242035,0.5,0.5,0.0,0.0,0.0
1,2,0,0,0,0,0.09496486186981201,1.0,0.0,0.0,0.0,0.0
1,0,1,0,0,1,0.31667086482048035,0.0,0.5,0.0,0.0,0.5
1,1,0,0,1,0,0.024285556748509407,0.5,0.0,0.0,0.5,0.0
1,1,0,1,0,0,0.03357313200831413,0.5,0.0,0.5,0.0,0.0
1,1,0,0,0,1,0.24249300360679626,0.5,0.0,0.0,0.0,0.5
1,0,0,0,1,1,-0.005078891757875681,0.0,0.0,0.0,0.5,0.5
1,1,0,0,1,0,0.09194927662611008,0.5,0.0,0.0,0.5,0.0
1,1,0,0,0,1,0.10876808315515518,0.5,0.0,0.0,0.0,0.5
1,2,0,0,0,0,0.06744258850812912,1.0,0.0,0.0,0.0,0.0
1,1,0,0,1,0,0.12480475008487701,0.5,0.0,0.0,0.5,0.0
1,1,0,0,0,1,0.1153249740600586,0.5,0.0,0.0,0.0,0.5
1,0,0,0,1,1,0.09077887237071991,0.0,0.0,0.0,0.5,0.5
1,2,0,0,0,0,0.07203838229179382,1.0,0.0,0.0,0.0,0.0
1,1,0,0,1,0,0.004733298905193806,0.5,0.0,0.0,0.5,0.0
1,2,0,0,0,0,-0.06455472111701965,1.0,0.0,0.0,0.0,0.0
1,2,0,0,0,0,0.06311386823654175,1.0,0.0,0.0,0.0,0.0
1,1,0,0,1,0,0.0,0.5,0.0,0.0,0.5,0.0
1,1,0,1,0,0,0.01768968440592289,0.5,0.0,0.5,0.0,0.0
1,2,0,0,0,0,0.0679059699177742,1.0,0.0,0.0,0.0,0.0
1,1,0,1,0,0,0.07210809737443924,0.5,0.0,0.5,0.0,0.0
1,1,0,1,0,0,0.09789711982011795,0.5,0.0,0.5,0.0,0.0
1,0,1,1,0,0,0.01703523099422455,0.0,0.5,0.5,0.0,0.0
1,2,0,0,0,0,0.1148485615849495,1.0,0.0,0.0,0.0,0.0
1,0,1,1,0,0,0.12882907688617706,0.0,0.5,0.5,0.0,0.0
1,0,1,0,1,0,0.1136329174041748,0.0,0.5,0.0,0.5,0.0
1,1,0,1,0,0,0.2233167290687561,0.5,0.0,0.5,0.0,0.0
1,1,1,0,0,0,0.326309472322464,0.5,0.5,0.0,0.0,0.0
1,1,1,0,0,0,0.04046500846743584,0.5,0.5,0.0,0.0,0.0
1,1,1,0,0,0,0.12033605575561523,0.5,0.5,0.0,0.0,0.0
1,1,0,0,0,1,0.10018658638000488,0.5,0.0,0.0,0.0,0.5
1,1,0,0,1,0,0.043754901736974716,0.5,0.0,0.0,0.5,0.0
1,1,0,0,0,1,0.10215794295072556,0.5,0.0,0.0,0.0,0.5
1,1,1,0,0,0,0.01967756263911724,0.5,0.5,0.0,0.0,0.0
1,1,0,0,1,0,0.0503685288131237,0.5,0.0,0.0,0.5,0.0
1,2,0,0,0,0,0.06798385083675385,1.0,0.0,0.0,0.0,0.0
1,2,0,0,0,1,0.059077447736247755,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333
1,1,1,0,0,0,0.10036049038171768,0.5,0.5,0.0,0.0,0.0
1,2,0,0,0,0,0.01668735407292843,1.0,0.0,0.0,0.0,0.0
1,0,1,0,1,0,0.1575980931520462,0.0,0.5,0.0,0.5,0.0
1,0,0,2,0,0,0.07980840653181076,0.0,0.0,1.0,0.0,0.0
1,1,0,0,1,0,0.08416596055030823,0.5,0.0,0.0,0.5,0.0
1,2,0,0,0,0,0.1339522749185562,1.0,0.0,0.0,0.0,0.0
1,1,1,0,0,0,0.2711264193058014,0.5,0.5,0.0,0.0,0.0
1,1,0,0,1,0,0.06107223778963089,0.5,0.0,0.0,0.5,0.0
1,0,0,1,0,1,0.044062476605176926,0.0,0.0,0.5,0.0,0.5
1,2,0,0,0,0,-0.05578887090086937,1.0,0.0,0.0,0.0,0.0
1,2,0,0,0,0,0.0726764127612114,1.0,0.0,0.0,0.0,0.0
1,0,1,1,0,0,0.03786728158593178,0.0,0.5,0.5,0.0,0.0
1,2,0,0,0,0,0.047401063144207,1.0,0.0,0.0,0.0,0.0
1,1,0,0,0,1,0.2624727785587311,0.5,0.0,0.0,0.0,0.5
1,2,0,0,0,0,0.07843433320522308,1.0,0.0,0.0,0.0,0.0
1,1,1,0,0,0,0.21860156953334808,0.5,0.5,0.0,0.0,0.0
1,0,0,0,2,0,0.03447536379098892,0.0,0.0,0.0,1.0,0.0
1,2,0,0,0,0,0.14890551567077637,1.0,0.0,0.0,0.0,0.0
1,1,0,0,1,0,0.04841352626681328,0.5,0.0,0.0,0.5,0.0
1,1,1,0,0,0,0.1298866868019104,0.5,0.5,0.0,0.0,0.0
1,2,0,0,0,0,0.08845489472150803,1.0,0.0,0.0,0.0,0.0
1,1,0,0,1,0,0.10950200259685516,0.5,0.0,0.0,0.5,0.0
1,1,1,0,0,0,-0.025644825771450996,0.5,0.5,0.0,0.0,0.0
1,1,0,0,1,0,0.0014793763402849436,0.5,0.0,0.0,0.5,0.0
1,2,0,0,0,0,0.0455036461353302,1.0,0.0,0.0,0.0,0.0
1,1,0,1,0,0,0.039352864027023315,0.5,0.0,0.5,0.0,0.0
1,1,0,0,1,0,0.15052609145641327,0.5,0.0,0.0,0.5,0.0
1,1,0,0,1,0,0.011342992074787617,0.5,0.0,0.0,0.5,0.0
1,0,0,1,0,1,0.1579543501138687,0.0,0.0,0.5,0.0,0.5
1,1,0,0,1,0,0.16634370386600494,0.5,0.0,0.0,0.5,0.0
1,1,0,0,1,0,0.0004005951341241598,0.5,0.0,0.0,0.5,0.0
1,1,0,0,1,0,0.06865192949771881,0.5,0.0,0.0,0.5,0.0
1,0,0,0,2,0,0.11412348598241806,0.0,0.0,0.0,1.0,0.0
1,0,0,1,1,0,0.039273057132959366,0.0,0.0,0.5,0.5,0.0
1,0,0,0,2,0,0.12331803143024445,0.0,0.0,0.0,1.0,0.0
1,2,0,0,0,0,0.17807812988758087,1.0,0.0,0.0,0.0,0.0
1,2,0,0,0,0,-0.03889264166355133,1.0,0.0,0.0,0.0,0.0
1,2,0,0,0,0,0.09791809320449829,1.0,0.0,0.0,0.0,0.0
