isDGA,length,digits,entropy,vowel-cons,ngrams
1,26,0,4.085055102756476,0.07692307692307693,525.6261538461538
1,12,0,3.084962500721156,0.2,855.0196969696971
1,12,0,3.2516291673878226,0.2,1112.4277777777777
1,13,0,3.2389012566026314,0.3,710.4576534576536
1,26,0,3.8731406795131327,0.06666666666666667,546.7411111111111
1,26,0,4.132944044980958,0.3684210526315789,896.4495726495726
1,21,0,3.4992275417233567,0.23529411764705882,623.1030492898914
1,15,0,3.506890595608519,0.15384615384615385,745.3673992673994
1,12,0,3.418295834054489,0.2,1204.458080808081
1,14,0,3.182005814760214,0.5555555555555556,772.7384004884005
1,32,0,3.7806390622295662,0.5555555555555556,558.9113127240144
1,32,0,3.4401204074720737,0.6,304.1677419354839
1,32,0,3.6320488277869583,0.25,480.5067428315412
1,24,0,4.16829583405449,0.06666666666666667,437.7536231884058
1,8,0,2.75,0.6,1644.6210317460318
1,13,0,3.5465935642949384,0.3,831.1425796425796
1,32,0,3.3706573285181993,0.42857142857142855,394.31014784946234
1,32,0,3.5931390622295662,0.8,324.2083333333333
1,27,0,4.088220835496803,0.26666666666666666,744.3994112060778
1,32,0,3.890319531114783,0.625,493.85125448028674
1,27,0,4.134336113194452,0.42105263157894735,1023.092155745489
1,15,0,3.5068905956085183,0.25,582.584126984127
1,32,0,3.715018266288633,0.7777777777777778,681.6485215053764
1,14,0,3.521640636343319,0.16666666666666666,950.7936507936507
1,14,0,3.521640636343319,0.16666666666666666,668.9710012210013
1,26,0,3.873140679513132,0.75,699.6970940170941
1,9,0,2.725480556997868,0.5,1684.6375661375662
1,12,0,3.418295834054489,0.5,983.8176767676767
1,16,0,3.375,0.06666666666666667,571.8043650793651
1,32,0,3.7417292966721747,0.75,604.1080869175627
1,27,0,4.282484261342601,0.2727272727272727,401.8608736942071
1,27,0,4.106377316818028,0.3076923076923077,626.916391263058
1,12,0,3.418295834054489,0.2,915.6090909090909
1,12,0,2.8553885422075336,0.2,750.3080808080808
1,15,0,3.373557262275185,0.25,663.3341880341881
1,15,0,3.32323142879762,0.07142857142857142,629.168253968254
1,13,0,3.3927474104487847,0.4444444444444444,1067.1851204351203
1,14,0,3.2359263506290334,0.2727272727272727,783.4511599511599
1,12,0,3.0220552088742005,0.7142857142857143,1452.6762626262625
1,27,0,4.004344446367528,0.125,676.1255460588794
1,10,0,2.721928094887362,1.0,1756.537962962963
1,32,0,3.480337797403416,0.1,215.60315860215053
1,27,0,4.088220835496803,0.3125,695.6810256410257
1,12,0,3.584962500721156,0.3333333333333333,1101.3565656565656
1,13,0,3.180832987205441,0.08333333333333333,782.9067599067598
1,15,0,3.189898095464287,0.25,1138.2991452991453
1,15,0,3.506890595608519,0.15384615384615385,749.9633699633699
1,8,0,3.0,1.0,1675.2202380952383
1,14,0,3.182005814760214,0.07692307692307693,823.4935897435897
1,24,0,3.9701755214643457,0.2,846.0771299956082
1,8,0,2.75,0.3333333333333333,1640.373015873016
1,27,0,4.106377316818028,0.17647058823529413,528.1784425451092
1,27,0,4.106377316818028,0.18181818181818182,496.6301044634378
1,13,0,3.180832987205441,0.08333333333333333,699.60236985237
1,26,0,4.18083298720544,0.1875,604.9539743589744
1,12,0,3.0220552088742005,0.3333333333333333,1021.860101010101
1,10,0,2.9219280948873623,0.6666666666666666,1505.1351851851853
1,15,0,3.640223928941851,0.25,851.7036630036629
1,15,0,3.640223928941851,0.5,1203.8266178266178
1,25,0,3.9736606896881845,0.46153846153846156,802.9754830917874
1,13,0,3.0269868333592873,0.3,1084.85236985237
1,32,0,3.355337797403416,0.3333333333333333,387.3971774193549
1,9,0,2.725480556997868,0.5,1751.5264550264553
1,12,0,3.0849625007211556,0.2,842.5550505050505
1,12,0,3.2516291673878226,0.3333333333333333,1036.877777777778
1,9,0,2.94770277922009,0.8,1269.7757936507935
1,13,0,3.3927474104487847,0.18181818181818182,802.0738150738151
1,25,0,3.8936606896881845,0.46153846153846156,966.2905555555554
1,25,0,4.403856189774723,0.5,542.1339855072464
1,12,0,3.188721875540867,0.5,1151.5863636363636
